Month,Year,Company Name,Company ID,Residential Customers,Residential Customers with Arrears Greater than 60 days,Residential Final Termination Notices,Residential Accounts Terminated,Residential Accounts Terminated Percentage,Residential Active Payment Arrangements,Residential Uncollectibles,Residential Sales,Residential Arrears Greater than 60 Days Sales,Residential Final Termination Notices Issued Sales,Residential Accounts Terminated Sales,Residential Average Sales,Residential Active Payment Arrangements Sales,Residential Uncollectibles Sales
3,2013,NGrid-Upstate,1004,1457814,201728,98202,965,0.06%,60500,6220,203065463.3,199746326.7,57574170,1615842,139.29,62172033,2973612.39
3,2013,NYSEG,1005,992061,114408,74877,425,0.04%,67354,2310,82821518.17,29329135.51,16478291.34,207364.43,83.48,32607562.75,331574.6
3,2013,OR,1006,196083,17021,16228,598,0.30%,7154,65,51354513.24,7442413.9,5685608,538439.75,261.9,7153948,122262.48
3,2013,RG&E,1007,612468,66835,44472,492,0.08%,42759,1733,54863054.25,38071128.13,12064098.01,431030.95,89.58,35522813.76,172183.25
6,2013,CE,1002,2891905,297959,218065,7728,0.26%,162779,4308,323508659,242735179.2,89232469.03,10350000,111.87,94713301,4651794.33
6,2013,CH,1001,221478,21433,26190,1296,0.58%,4729,837,23842446,10575019,9423094,1225797.67,107.65,6863680.39,310041.43
6,2013,NFG,3120,467146,22964,19371,3547,0.75%,19827,2365,21987279.33,9941413.67,5923660.42,1612257.37,47.07,8181217.4,1391383.57
6,2013,NGrid-LI,1003,518443,69631,1832,1187,0.22%,23897,882,29008262,33462567,1455516,1509180,55.95,20192200,488063
6,2013,NGrid-NY,3010,922690,154076,61323,3190,0.34%,30202,4409,48890616.04,62526067,35067998,2482444,52.99,23869895,924615.29
6,2013,NGrid-Upstate,1004,1487539,228543,95481,6729,0.45%,70713,6262,155246737.1,229182819,55538882,9197088,104.36,71264201,5623176.93
6,2013,NYSEG,1005,993182,116652,70886,3236,0.32%,71496,3042,61920434,35600896.56,13245096.84,1807847.61,62.35,34348612.18,1331703.89
6,2013,OR,1006,196077,17429,15164,1237,0.63%,8189,158,33816815.93,7951904.43,4033991,894895.53,172.47,8103243,294471.65
6,2013,RG&E,1007,612317,71641,40345,1174,0.19%,44874,2075,36201809,43674533.18,10280421.57,906624.75,59.12,35976711.57,1359833.87
9,2013,CE,1002,2892258,271975,264539,8321,0.28%,168071,6778,374301309,250069724.9,116571855.8,11879000,129.41,95647923.37,5975577.47
9,2013,CH,1001,218307,20241,26316,1404,0.64%,5641,831,30557342,9491817,9819530,1080505.07,139.97,8096176.18,428224.35
9,2013,NFG,3120,463858,24273,15136,2139,0.46%,19161,1660,16148272.69,8845611.15,4377650.27,701881.86,34.81,7468129.38,833334.14
9,2013,NGrid-LI,1003,518562,68472,2358,1233,0.23%,23603,1203,22883624,31745923,1414769,1641453,44.13,19178005,818736
9,2013,NGrid-NY,3010,923867,159171,56254,3717,0.40%,30048,4217,37932210.13,55599392,29244533,2427728,41.06,21892082,1262285.16
9,2013,NGrid-Upstate,1004,1492900,223071,99064,6741,0.45%,68399,5947,151955973.8,217779502,56272393,8022942,101.79,69251379,4432922.39
9,2013,NYSEG,1005,993035,111711,81929,2961,0.29%,72163,3552,63969340.41,35442201.92,14865647.05,1333164.23,64.42,33600279.15,1386108.37
9,2013,OR,1006,196121,16977,16834,725,0.36%,7738,150,39136109.42,6934914,4866277,506438.57,199.55,7509496,276829
9,2013,RG&E,1007,613139,71720,43491,875,0.14%,44974,3108,35954593.91,44206269.43,10405429.02,622245.16,58.64,35539042.03,1419814.27
12,2013,CE,1002,2899188,319260,231177,2749,0.09%,175475,7089,365778230.5,260113966.4,95041954.46,3257000,126.17,93187340,5123094.56
12,2013,CH,1001,219775,20484,25346,247,0.11%,5685,1016,29889526,9316012,8634512.42,237046.7,136,7949222.37,713672.09
12,2013,NFG,3120,469401,19531,16063,223,0.04%,14696,1192,55042644.71,8702170.54,4782428.98,68500.78,117.26,6714194.88,-665794.64
12,2013,NGrid-LI,1003,489975,57240,9687,0,0.00%,16989,159,56906953.41,30888346,6182798,0,116.14,8784532,-12727.47
12,2013,NGrid-NY,3010,921164,150870,62746,1672,0.18%,24914,5074,103323587.1,50725825,31438882,511031,112.17,18242986,1400272.15
12,2013,NGrid-Upstate,1004,1470136,229976,102031,135,0.01%,56605,7366,226208462.1,215621938,52246168,168536,153.87,61544906,6258551.02
12,2013,NYSEG,1005,994188,108714,85395,258,0.02%,71892,4130,82459821.84,34612363.88,15165894.01,93415.9,82.94,32941182.29,1462698.57
12,2013,OR,1006,196685,16075,17434,251,0.12%,6987,93,50000993.63,6549220.47,4719662,213968,254.22,6759032,222173.92
12,2013,RG&E,1007,614723,68811,47391,136,0.02%,45152,2856,54540972.23,42671344.88,11197711.94,85898.57,88.72,34669649.54,1336133.88
3,2014,CE,1002,2905529,299761,231474,7067,0.24%,159956,6294,399395024,274197645.6,105151415.3,9910000,137.46,91013899.2,3477871.43
3,2014,CH,1001,257296,20137,26318,507,0.19%,4940,922,55050512,9899096,13833737.22,481759.4,213.96,7927965.17,450433.52
3,2014,NFG,3120,473111,22330,20462,3,0.00%,19028,1237,70048450.76,13200415.6,8570125.06,1807.42,148.06,9901669.67,-78422.99
3,2014,NGrid-LI,1003,481932,53542,22336,325,0.06%,8707,5333,92515157.37,35774081,11402648,351771,191.97,6655725,5690004.48
3,2014,NGrid-NY,3010,929155,136470,65824,1765,0.18%,25218,3999,141032387.4,55927136,44296528,686985,151.79,19452365,524284.47
3,2014,NGrid-Upstate,1004,1481664,205183,93266,577,0.03%,56879,6551,315891734.2,217738648,54352554,1182675,213.2,60276255,5530341.53
3,2014,NYSEG,1005,995062,110046,83678,518,0.05%,73473,2416,103078388.8,33679911.83,21103517.03,246764.76,103.59,35354519.7,193636.98
3,2014,OR,1006,196656,18499,16419,596,0.30%,7309,40,65133091.74,8694177.25,6384874,675137.02,331.2,7488435,284161.93
3,2014,PSEG,7497ps,1035469,133606,5939,552,0.05%,59411,2568,161321103,91420612,4894834,1408209,155.8,65564316,2500262
3,2014,RG&E,1007,615025,68473,49733,335,0.05%,47443,1797,62682930.26,41424504.03,16726151.35,293351.64,101.92,37515008.39,122661.7
6,2014,CE,1002,2904692,294817,213349,8948,0.30%,160478,6968,319905673.3,249501085.2,90379593.98,12929000,110.13,101800203.5,4943999.94
6,2014,CH,1001,258309,25568,25850,1456,0.56%,8800,654,25242264,14501055,11744044.8,1604594.2,97.72,13264310.63,219295.22
6,2014,NFG,3120,469170,30044,20667,4190,0.89%,28089,2236,19247782.97,14518074.81,7874982.13,2739226.55,41.03,13196431.9,937575.7
6,2014,NGrid-LI,1003,482564,60017,19336,1595,0.33%,13506,951,36704625,49890646,8757210,1862812,76.06,12006175,526985.56
6,2014,NGrid-NY,3010,924110,157785,62812,4252,0.46%,31026,4309,50262172.64,64262009,37205524,3772163,54.39,24255477,725273.11
6,2014,NGrid-Upstate,1004,1493467,252985,83529,11971,0.80%,73386,5484,145031671,265946913,55314226,16386650,97.11,76121073,1786537.33
6,2014,NYSEG,1005,995880,118134,92142,3186,0.31%,78288,3129,72024160.69,44641752.67,21254926.07,1867121.35,72.32,39120354,1658472.15
6,2014,OR,1006,196628,20947,15530,960,0.48%,9727,184,34054719.46,10782448.61,4416509,910737.36,173.19,10457074,393353.28
6,2014,PSEG,7497ps,1036332,140656,6944,2693,0.25%,59316,1713,149593178,97249816,5930740,5298089,144.35,69506981,1673653
6,2014,RG&E,1007,614392,73598,47837,1448,0.23%,50070,2330,39046849.35,50175010.55,14100281.96,959144.15,63.55,39194250.06,1707917.63
9,2014,CE,1002,2906803,281158,248587,9179,0.31%,160274,8341,362621692.9,254489824.5,108204429.8,12562000,124.75,99171117.87,5273161.55
9,2014,CH,1001,256866,22324,24662,1578,0.61%,8692,841,31564513,12401812,10195900.91,1510392.54,122.88,14158801,805569.46
9,2014,NFG,3120,466185,33599,18263,2611,0.56%,29311,1889,15353271.11,14993799.89,6604262.24,1266398.2,32.93,13154265.51,625689.85
9,2014,NGrid-LI,1003,474556,54848,17344,918,0.19%,13794,1238,25080917.43,36259694,6699249,840692,52.85,11508875,1289336.76
9,2014,NGrid-NY,3010,885641,153279,56813,4474,0.50%,29414,5564,37265222.21,55715389,31099040,2277089,42.08,21486848,674584.31
9,2014,NGrid-Upstate,1004,1493930,232586,93553,5536,0.37%,75892,12240,158072626.9,235899952,59922851,7604546,105.81,80594742,11903338.72
9,2014,NYSEG,1005,995672,113713,83326,3183,0.31%,75921,3938,61920793,45590260.62,16435961.26,1800103,62.19,37329148.56,1908921
9,2014,OR,1006,196761,19022,16337,865,0.43%,9019,248,39822186.15,9236891.14,4984020,717560.32,202.39,9649825,457085.43
9,2014,PSEG,7497ps,1039748,137214,6497,2676,0.25%,59327,1813,186289009.3,97108973,5342365,4785112,179.17,68780484,2037326
9,2014,RG&E,1007,615179,76367,44649,1928,0.31%,47849,2658,32805136,49652046.13,11657380,2696546,53.33,35854509.32,1976487.22
12,2014,CE,1002,2916198,315091,210048,4344,0.14%,161233,8712,342702633.1,257808903,84488395.13,4529000,117.52,92451381.67,5018384.9
12,2014,CH,1001,258635,21142,24284,394,0.15%,7875,44,33583818,11696252,9505354.59,390410.54,129.85,13678346.44,30694.16
12,2014,NFG,3120,471848,19199,13352,266,0.05%,15315,1500,49242617.67,8496580.1,4073951.17,204268.39,104.36,7144636,-422611.51
12,2014,NGrid-LI,1003,471689,48036,16926,22,0.00%,10525,1746,67767297.57,28831671,5592905,13670,143.67,9060219,1480159.24
12,2014,NGrid-NY,3010,934330,150833,63511,1382,0.14%,24728,5179,98768152.26,54280884,34156689,775874,105.71,19336520,580600.85
12,2014,NGrid-Upstate,1004,1491265,231349,84087,506,0.03%,60196,7780,206768797.5,231292159,48529159,757559,138.65,63935071,5618422.05
12,2014,NYSEG,1005,995712,98211,95129,573,0.05%,64135,4568,85507065,39781744.19,25772034.85,303720,85.88,31130185.64,2337212
